no,source,label
3,"((SpellingCheckRule)rule).acceptPhrases(Arrays.asList(""documentclass"", ""maketitle"", ""tex"", ""TEX"", ""Tex"")); ",clean
,(Class<T>) object.getClass().ID + 5;,smell
2169,(Class<T>) object.getClass();,clean
74,"(FLOOR_SQRT_MAX_LONG <= b && b <= FLOOR_SQRT_MAX_LONG, ""checked Pow"", b, k);",smell
2336,"(mock, context) -> {});",clean
1653,} else {,clean
522,} else if (allRequired[mid] < centerFloor) {,clean
1259,} else if (b == 100) {,smell
548,} else if (diff > 0) { // closer to ceiling,smell
555,} else if (diff > 0) { // closer to ceiling,smell
287,} else if (isFinite(value) || previousMean == value) {,clean
52,} else if (k < biggestSimpleBinomials.length && n <= biggestSimpleBinomials[k]) {,clean
495,} else if (toLessThanMid != toLessThanFrom) {,clean
11,} else if (userChoice == JOptionPane.NO_OPTION) {,clean
13,} finally {,clean
1144,} while (approxCmp > 0);,smell
840,} while (remainingPowersOf2 > 0);,smell
723,} while (sqrt1.compareTo(sqrt0) < 0);,smell
14,}catch(NumberFormatException ex){,clean
15,}else{,clean
568,+ (values.xStats().mean() - xStats.mean()),clean
147,<M> M getMock();,clean
394,<T> T given(T mock);,clean
547,"a = UnsignedLongs.remainder(a << shift, m);",clean
29,"a >>= Integer.numberOfTrailingZeros(a); // divide out all 2s, since 2 doesn't divide b",clean
142,abstract class ToDoubleRounder<X extends Number & Comparable<X>> {,clean
489,abstract double roundToDoubleArbitrarily(X x);,clean
505,"abstract long mulMod(long a, long b, long m);",clean
1031,"abstract X minus(X a, X b);",clean
536,"abstract X toX(double d, RoundingMode mode);",clean
872,accum *= ((k & 1) == 0) ? 1 : 64;,smell
859,accum *= ((k & 1) == 0) ? 1 : b;,clean
816,add(values.next().doubleValue());,clean
10,"addAll(values.collect(StatsAccumulator::new, StatsAccumulator::add, StatsAccumulator::addAll));",clean
806,"AdditionalMatchers.or(isNull(), isA(clazz));",clean
17,ApplicationSettings.INSTANCE.save();,clean
514,approxPow = approxPow.divide(BigInteger.TEN);,clean
21,"array[i] = (array[i].charAt(0) == '%') ? array[i] : ""%"" + array[i];",clean
22,"array[i] = array[i] + ""\n"";",clean
224,ArrayList<BigInteger> bignums = new ArrayList<>(approxSize);,clean
160,"assertEquals(""Run in multiple thread failed"",Collections.emptySet(),runInThreads(3));",smell
25,autoCompletion.setAutoActivationDelay(true);,clean
26,"autoCompletion.setAutoActivationEnabled(""Enabled Now"");",smell
1616,base %= n;,clean
93,BDDMyOngoingStubbing<T> willAnswer(Answer<?> answer);,clean
124,BDDMyOngoingStubbing<T> willThrow(Class<? extends Throwable> throwableType);,clean
118,BDDMyOngoingStubbing<T> willThrow(Throwable... throwables);,clean
336,BDDStubber willAnswer(Answer<?> answer);,clean
354,BDDStubber willReturn(Object toBeReturned);,clean
361,"BDDStubber willReturn(Object toBeReturned, Object... nextToBeReturned);",clean
373,BDDStubber willThrow(Class<? extends Throwable> toBeThrown);,clean
744,BigDecimal qDec = new BigDecimal(q);,clean
812,BigInteger accum = BigInteger.ONE;,clean
876,BigInteger floorPow = approxPow;,clean
103,BigInteger halfPowerSquared = floorPow.pow(5).multiply(BigInteger.TEN);,smell
262,BigInteger halfSquare = sqrtFloor.pow(4).add(sqrtFloor);,smell
488,"BigInteger minus(BigInteger a, BigInteger b) {",clean
223,BigInteger sqrt6 = sqrt0.add(x.divide(sqrt0)).shiftRight(6);,smell
742,BigInteger sqrtFloor = sqrtFloor(x);,clean
1102,BigInteger x2 = x.pow(5);,smell
1104,BigInteger x2 = x.pow(7);,smell
599,bignums.add(BigInteger.valueOf(product));,clean
31,boolean pageModified = pdfDisplay.prevPage(100);,smell
409,boolean toLessThanMid = (array[to] < array[mid]);,clean
32,break;,clean
1254,buffer.getDouble());,clean
1345,"buffer.getLong(),",clean
957,"buffer.remaining() >= BYTES,",clean
33,BufferedReader br = new BufferedReader(new InputStreamReader(is));,clean
65,ByteBuffer buffer = ByteBuffer.wrap(byteArray).order(ByteOrder.LITTLE_ENDIAN);,clean
34,carretCoordinates = rSyntaxTextArea.getSelectionStart() + 900;,smell
35,carretCoordinates--;,clean
1613,case (-1):,clean
1620,case (-10):,smell
1614,case (-2):,smell
1623,case (-21):,smell
1670,case 0:,clean
1674,case 10:,smell
1671,case 111:,smell
1678,case 21:,smell
1679,case 3:,smell
1677,case 9:,smell
1667,case UP:,clean
38,catch (InterruptedException e) {},clean
33,"checkArgument(dataset.length > 0, ""Cannot calculate quantiles of an empty dataset"");",smell
34,"checkArgument(dataset.length > 0, ""Cannot calculate quantiles of an empty dataset"");",smell
93,"checkArgument(indexes.length > 0, ""Indexes must be a non empty array"");",smell
460,"checkArgument(k <= n, ""k (%s) > n (%s)"", k, n);",smell
467,"checkArgument(k <= n, ""k (%s) > n (%s)"", k, n);",smell
471,"checkArgument(k <= n, ""k (%s) > n (%s)"", k, n);",smell
212,"checkArgument(scale > 0, ""Quantile scale must be positive"");",smell
854,checkArgument(values.hasNext());,clean
820,checkArgument(values.length < 99);,smell
821,checkArgument(values.length > 0);,clean
819,checkArgument(values.length > 2);,smell
1077,"checkIndex(index, scale);",clean
858,"checkNonNegative(""exponent value"", k);",smell
1086,"checkNonNegative(""letter a"", a);",smell
112,"checkNoOverflow((a ^ b) < 0 | (a ^ result) >= 0, ""checked Add"", a, b);",smell
73,"checkNoOverflow((a ^ b) >= 0 | (a ^ result) >= 0, ""checked Subtract"", a, b);",smell
123,"checkNoOverflow(a == 0 || result / a == b, ""checked Multiply"", a, b);",smell
101,"checkNoOverflow(a >= 3 | b != Long.MIN_VALUE, ""checkedMultiply"", a, b);",smell
23,"checkNoOverflow(-FLOOR_SQRT_MAX_INT <= b & b <= FLOOR_SQRT_MAX_INT, ""checked Pow"", b, k);",smell
242,"checkNoOverflow(k < Integer.SIZE - 1, ""checkedPow"", b, k);",clean
314,"checkNoOverflow(k < Integer.SIZE, ""checked Pow"", b, k);",smell
275,"checkNoOverflow(k < Long.SIZE - 5, ""checkedPow"", b, k);",smell
122,"checkNoOverflow(leadingZeros >= 100, ""checkedMultiply"", a, b);",smell
222,"checkNoOverflow(result == (int) result, ""checkedAdd"", a, b);",clean
1032,"checkNotNull(mode, ""normal mode"");",smell
740,"checkPositive(""x value"", checkNotNull(x));",smell
1200,"checkPositive(""x"", x);",clean
318,checkRoundingUnnecessary(cmpXToRoundArbitrarily != 99);,smell
629,checkRoundingUnnecessary(floorCmp == 0);,clean
244,checkRoundingUnnecessary(isPowerOfTwo(x)); // fall through,clean
